date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T20:19:04+02:00,TKWM58KG--------------REP1000300--,TKWM58KG,Men -58kg,Men -58kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1956647,WOOLLEY Jack,Person,IRL,Ireland,0,POINTS,L,,207
2024-08-07T20:19:04+02:00,TKWM58KG--------------REP1000300--,TKWM58KG,Men -58kg,Men -58kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1546697,VICENTE YUNTA Adrian,Person,ESP,Spain,2,POINTS,W,,202
2024-08-07T20:39:27+02:00,TKWM58KG--------------REPF000100--,TKWM58KG,Men -58kg,Men -58kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1929684,DELL AQUILA Vito,Person,ITA,Italy,,IRM_POINTS,L,WDR,203
2024-08-07T20:39:27+02:00,TKWM58KG--------------REPF000100--,TKWM58KG,Men -58kg,Men -58kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,,,W,,204
2024-08-07T21:20:04+02:00,TKWM58KG--------------REPF000200--,TKWM58KG,Men -58kg,Men -58kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1546697,VICENTE YUNTA Adrian,Person,ESP,Spain,0,POINTS,L,,202
2024-08-07T21:20:04+02:00,TKWM58KG--------------REPF000200--,TKWM58KG,Men -58kg,Men -58kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1947736,JENDOUBI Mohamed Khalil,Person,TUN,Tunisia,2,POINTS,W,,201
2024-08-07T22:07:30+02:00,TKWM58KG--------------FNL-000100--,TKWM58KG,Men -58kg,Men -58kg Gold Medal Contest,Gold Medal Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,1,POINTS,W,,205
2024-08-07T22:07:30+02:00,TKWM58KG--------------FNL-000100--,TKWM58KG,Men -58kg,Men -58kg Gold Medal Contest,Gold Medal Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1946883,MAGOMEDOV Gashim,Person,AZE,Azerbaijan,0,IRM_POINTS,L,WDR,210
2024-08-07T09:29:56+02:00,TKWW49KG--------------R32-000100--,TKWW49KG,Women -49kg,Women -49kg Qualification Contest,Qualification Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1541652,da COSTA da SILVA PINTO Ana,Person,TLS,Timor-Leste,0,POINTS,L,,116
2024-08-07T09:29:56+02:00,TKWW49KG--------------R32-000100--,TKWW49KG,Women -49kg,Women -49kg Qualification Contest,Qualification Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1541825,EL BOUCHTI Oumaima,Person,MAR,Morocco,2,POINTS,W,,117
